food_name_in_french,sodium_chloride_in_g_for_100g,calcium_in_mg_for_100g,chloride_in_mg_for_100g,copper_in_mg_for_100g,iron_in_mg_for_100g,iodine_in_µg_for_100g,magnesium_in_mg_for_100g,manganese_in_mg_for_100g,phosphorus_in_mg_for_100g,potassium_in_mg_for_100g,selenium_in_µg_for_100g,sodium_in_mg_for_100g,zinc_in_mg_for_100g
Farine de sarrasin,,,,,,,157.0,,264.0,389.0,,,
Farine de maïs,,4.0,,,,,,,,105.0,,1.0,
Farine d'orge,,,,,,5.0,,,298.0,335.0,1.0,,
Farine de millet,,12.0,49.0,,,,140.0,,360.0,280.0,,,
Farine de pois chiche,,45.0,,,,,166.0,,318.0,846.0,,64.0,
Farine de soja,,178.0,,,,,335.0,,527.0,2230.0,11.0,,
Amidon de riz,,,,,,,,,,,,,
"Pâte à pizza fine, crue",,,,,,,,,,,,757.0,
"Pâte brisée, crue",,,,,,,,,,,,425.0,
"Pâte brisée, matière grasse végétale, cuite",,,1120.0,,,,,,60.0,116.0,,690.0,
"Pâte brisée, pur beurre, crue",,,,,,,,,,,,596.0,
"Pâte brisée, pur beurre, surgelée, crue",,,,,,,,,,,,,
"Pâte brisée, pur beurre, cuite",,17.0,853.0,,,,12.0,,72.0,120.0,,500.0,
"Pâte feuilletée, matière grasse végétale, crue",,84.0,,,,,,,69.0,94.0,,460.0,
"Pâte feuilletée, surgelée, crue",,,,,,,,,,,,496.0,
"Pâte feuilletée, cuite",,,1140.0,,,2.0,,,60.0,,,627.0,
"Pâte feuilletée pur beurre, crue",,,,,,,,,,,,548.0,
"Pâte feuilletée pur beurre, surgelée crue",,,,,,,,,,,,,
"Pâte feuilletée pur beurre, cuite",,,,,,13.0,,,,,,413.0,
"Feuille de brick, cuite à sec sans matière grasse",,110.0,2710.0,,,,,,97.0,175.0,,,
"Pâte sablée, crue",,,,,,,,,,,,101.0,
"Pâte sablée, cuite",,11.0,198.0,,,,,,43.0,66.0,,107.0,
"Pâte sablée pur beurre, crue",,,,,,,,,,,,,
"Pâte phyllo ou Pâte filo, crue",,11.0,,,,,15.0,,75.0,74.0,,483.0,
"Pâte sablée pur beurre, surgelée, crue",,,,,,,,,,,,,
"Pâte sablée pur beurre, cuite",,20.0,280.0,,,,18.0,,130.0,100.0,,188.0,
Pâte à pizza crue,,,,,,,,,,,,630.0,
"Khatfa feuille de brick, préemballée",,,,,,,,,,,,1300.0,
Pâte à pizza cuite,,22.0,866.0,,,,16.0,,200.0,150.0,,681.0,
"Viande blanche, cuite (aliment moyen)",,,,,,,,,233.0,376.0,,,
"Viande rouge, cuite (aliment moyen)",,,,,,,,,201.0,338.0,,,
Viande cuite (aliment moyen),,,,,,,,,222.0,361.0,,,
"Volaille, cuite (aliment moyen)",,,127.0,,,,33.0,,239.0,377.0,,,
"Boeuf, entrecôte, partie maigre, grillée/poêlée",,12.0,,,,6.0,23.0,,200.0,279.0,,58.0,
"Boeuf, braisé",,,,,,6.0,,,,,,,
"Boeuf, gîte à la noix, cuit",,,,,,,,,,,,,
"Boeuf, faux-filet, rôti/cuit au four",,,,,,,,,,,,,
"Boeuf, faux-filet, grillé/poêlé",,20.0,,,,6.0,22.0,,209.0,336.0,,56.0,
"Boeuf, plat de côtes, braisé",,12.0,,,,,15.0,,162.0,224.0,,50.0,
"Boeuf, hampe, grillée/poêlée",,,,,,,,,,,,,
"Boeuf, joue, braisée ou bouillie",,,,,,,,,,,,,
"Boeuf, jarret, bouilli/cuit à l'eau",,,,,,,,,,,,,11.0
"Boeuf, tende de tranche, grillée/poêlée",,,,,,,,,,,,,
"Boeuf, tende de tranche, rôtie/cuite au four",,,,,,,,,,,13.0,,
"Boeuf, steak ou bifteck, grillé",,,61.0,,,6.0,,,,371.0,,,
"Boeuf, onglet, grillé",,,,,4.0,,,,,,,,6.0
"Boeuf, rumsteck, grillé",,,,,,,,,,,,,
"Boeuf, boule de macreuse, grillée/poêlée",,,,,,,,,,,13.0,,
"Boeuf, rosbif, rôti/cuit au four",,,,,,,32.0,,203.0,369.0,,,
"Boeuf, bavette d'aloyau, grillée/poêlée",,,,,,,,,,,,,
"Boeuf, boule de macreuse, rôtie/cuite au four",,,,,,,,,,,,,
"Boeuf, à bourguignon ou pot-au-feu, cuit",,,,,,6.0,,,171.0,,,,
"Boeuf, collier, braisé",,,,,,,,,,,,,
"Boeuf, steak haché 5% MG, cuit",,7.0,,,,,22.0,,180.0,347.0,,65.0,
"Boeuf, steak haché 10% MG, cuit",,13.0,,,,,22.0,,202.0,333.0,,68.0,
"Boeuf, steak haché 15% MG, cuit",,15.0,61.0,,,,,,198.0,318.0,,,
"Boeuf, steak haché 20% MG, cuit",,24.0,,,,,20.0,,115.0,304.0,,75.0,
"Boeuf, steak haché, cuit (aliment moyen)",,,61.0,,,,,,195.0,321.0,,,
"Boeuf, paleron, braisé ou bouilli",,14.0,,,,,22.0,,230.0,298.0,,67.0,
"Boeuf, queue, bouillie/cuite à l'eau",,,,,,,,,,,,,8.0
"Veau, côte, grillée/poêlée",,29.0,,,,31.0,,,196.0,305.0,,100.0,
"Veau, carré, sauté/poêlé",,,,,1.0,,,,,,,,
"Veau, escalope, cuite",,,,,1.0,6.0,,,,,,,
"Veau, noix, grillée/poêlée",,,,,,,,,,,,,
"Veau, noix, rôtie",,,,,,,,,,,,,
"Veau, filet, rôti/cuit au four",,19.0,,,,6.0,25.0,,212.0,325.0,13.0,93.0,
"Veau, rôti, cuit",,6.0,,,,,28.0,,236.0,393.0,,68.0,
"Veau, épaule, grillée/poêlée",,,,,,,,,,,,,
"Veau, épaule, braisée ou bouillie",,,,,,,,,,,,,
"Veau, viande, cuite (aliment moyen)",,,,,,,27.0,,,,,101.0,
"Veau, jarret, braisé ou bouilli",,,,,,,,,,,,,
"Veau, tête, bouillie/cuite à l'eau",,,,,,,,,,,,,
"Veau, collier, braisé ou bouilli",,,,,,,,,,,,,
"Porc, longe, cuite",,19.0,,,,,26.0,,242.0,408.0,,59.0,
"Porc, palette, crue",,15.0,,,,,24.0,,210.0,380.0,,,
"Porc, épaule, cuite",,18.0,,,,,20.0,,195.0,318.0,16.0,,
"Porc, côte, grillée",,,,,,,29.0,,260.0,470.0,20.0,57.0,
"Porc, rouelle de jambon, cuite",,,,,,,,,244.0,444.0,21.0,72.0,
"Porc, carré, cuit",,,,,,,,,226.0,402.0,,,
"Porc, filet, maigre, en rôti, cuit",,,,,,,,,281.0,436.0,,61.0,
"Porc, filet mignon, cuit",,,,,,,,,219.0,344.0,,,
"Porc, viande, cuite (aliment moyen)",,,,,,,,,224.0,378.0,,,
"Porc, rôti, cuit",,,,,,,,,204.0,330.0,14.0,,
"Porc, travers, braisé",,,61.0,,,,18.0,,149.0,226.0,,,3.0
"Porc, échine, rôtie/cuite au four",,18.0,,,,5.0,28.0,,213.0,425.0,,58.0,
"Porc, escalope de jambon, cuite",,,,,,,,,313.0,512.0,,,
"Poulet, cuisse, viande et peau, rôtie/cuite au four",,,137.0,,,5.0,,,200.0,324.0,,91.0,
"Poulet, viande et peau, rôti/cuit au four",,,243.0,,,5.0,,,200.0,414.0,,160.0,
"Poulet, cuisse, viande, rôti/cuit au four",,,,,,,,,197.0,252.0,29.0,104.0,
"Poulet, filet, sans peau, sauté/poêlé",,,107.0,,,,37.0,,270.0,440.0,,56.0,
"Poulet, cuisse, viande, bouilli/cuit à l'eau",,,100.0,,,3.0,,,164.0,262.0,,90.0,
"Poulet, cuisse, viande et peau, bouilli/cuit à l'eau",,15.0,,,,,23.0,,180.0,250.0,,73.0,
"Poulet, poitrine, viande et peau, rôti/cuit au four",,14.0,,,,,27.0,,214.0,245.0,,71.0,
"Poulet, aile, viande et peau, rôti/cuit au four",,18.0,,,,,19.0,,147.0,212.0,,98.0,
"Poulet, filet, sans peau, sauté/poêlé, bio",,,106.0,,,,34.0,,270.0,420.0,20.0,46.0,
"Dinde, viande, rôtie/cuite au four",,,,,,6.0,,,222.0,483.0,,101.0,
"Dinde, escalope, sautée/poêlée",,,124.0,,,4.0,,,293.0,462.0,,,
"Dinde, escalope, rôtie/cuite au four",,9.0,,,,,32.0,,230.0,249.0,,99.0,
"Agneau, côtelette, grillée",,,,,,5.0,,,184.0,,,,
"Agneau, gigot, rôti/cuit au four",,,61.0,,,5.0,,,183.0,301.0,,,
"Agneau, épaule, rôtie/cuite au four",,,61.0,,,,,,231.0,376.0,,,
"Agneau, épaule, maigre, rôtie/cuite au four",,19.0,,,,5.0,25.0,,200.0,265.0,6.0,68.0,
"Agneau, collier, braisé ou bouilli",,,,,,,,,,,,,
"Agneau, côte filet, grillée/poêlée",,,,,,,,,,,,,
"Agneau, côte première, grillée/poêlée",,22.0,,,,,20.0,,166.0,271.0,,73.0,
"Agneau, selle, partie maigre, rôtie/cuite au four",,18.0,,,,,23.0,,180.0,246.0,,64.0,
"Agneau, gigot, grillé/poêlé",,,,,,,,,,,,,
"Agneau, gigot, braisé",,,,,,,,,,,,,
"Agneau, selle, partie maigre, grillée/poêlée",,,,,,,,,,,,,
"Agneau, côte ou côtelette, cuite (aliment moyen)",,,,,,,,,,,,,
"Agneau, viande, cuite (aliment moyen)",,,,,,,,,,,,,
"Agneau, côte ou côtelette, grillée/poêlée (aliment moyen)",,,,,,,,,,,,,
"Chevreuil, rôti/cuit au four",,7.0,,,,4.0,24.0,,226.0,335.0,,54.0,
"Sanglier, rôti/cuit au four",,16.0,,,,,27.0,,134.0,396.0,,60.0,
"Cerf, rôti/cuit au four",,7.0,,,,,24.0,,226.0,335.0,,54.0,
"Gibier à poil, cuit (aliment moyen)",,,,,,,,,187.0,362.0,,56.0,
"Faisan, viande, rôtie/cuite au four",,16.0,,,,4.0,22.0,,242.0,271.0,,43.0,
"Gibier à plumes, viande, cuit (aliment moyen)",,,,,,,,,246.0,369.0,,290.0,
"Cheval, viande, rôtie/cuite au four",,,,,,4.0,,,214.0,333.0,5.0,,
"Cheval, tende de tranche, grillée/poêlée",,,,,,,,,,,,,
"Cheval, faux-filet, grillé/poêlé",,,,,,,,,,,,,
"Cheval, entrecôte, grillée/poêlée",,,,,,,,,,,,,
"Cheval, faux-filet, rôti/cuit au four",,,,,,,,,,,,,
"Cheval, tende de tranche, rôtie/cuite au four",,,,,,,,,,,,,
"Chevreau, cuit",,17.0,,,,,,,201.0,405.0,,86.0,
"Lapin, viande braisée",,20.0,,,,3.0,20.0,,226.0,300.0,,37.0,
"Lapin, viande cuite",,,185.0,,,,,,200.0,340.0,73.0,,
"Lapin de garenne, viande, cuite",,18.0,,,,,31.0,,240.0,343.0,,45.0,
"Chapon, viande et peau, rôti/cuit au four",,14.0,,,,,24.0,,246.0,255.0,,49.0,
"Caille, viande et peau, cuite",,15.0,,,,3.0,22.0,,279.0,216.0,,52.0,
"Canard, viande et peau, rôti/cuit au four",,11.0,,,,,16.0,,156.0,204.0,,59.0,
"Canard, viande, rôtie/cuite au four",,,243.0,,,4.0,,,203.0,392.0,,154.0,
"Canard, magret, grillé/poêlé",,5.0,,,,15.0,,,273.0,390.0,34.0,435.0,
"Oie, viande, rôtie/cuite au four",,14.0,,,,4.0,25.0,,309.0,388.0,,76.0,
"Oie, viande et peau, rôtie/cuite au four",,13.0,,,,,22.0,,270.0,329.0,,70.0,
"Pigeon, viande, rôtie/cuite au four",,17.0,,,,4.0,26.0,,332.0,256.0,,57.0,
"Autruche, viande cuite",,8.0,,,,,23.0,,224.0,323.0,,80.0,
"Cervelle, agneau, cuite",,12.0,,,,1.0,14.0,,337.0,205.0,,134.0,
"Cervelle, porc, braisée",,14.0,115.0,,,,15.0,,390.0,230.0,70.0,131.0,
"Cervelle, veau, cuite",,16.0,,,,1.0,16.0,,385.0,214.0,,156.0,
"Coeur, boeuf, cuit",,5.0,,,,3.0,21.0,,254.0,219.0,,59.0,
"Coeur, poulet, cuit",,19.0,,,,,20.0,,199.0,132.0,,48.0,
"Coeur, dinde, cuit",,21.0,,,,,28.0,,241.0,203.0,,140.0,
"Coeur, agneau, cuit",,14.0,,,,,24.0,,254.0,188.0,,63.0,
"Foie, agneau, cuit",,,,,,5.0,,,424.0,287.0,,90.0,
"Foie, génisse, cuit",,,,,,,,,485.0,351.0,,77.0,
"Foie, veau, cuit",,,,,,5.0,,,302.0,341.0,,,
"Foie, volaille, cuit",,,196.0,,12.0,,24.0,,380.0,340.0,90.0,99.0,
"Foie, porc, cuit",,10.0,,,,,14.0,,241.0,150.0,,49.0,
"Foie, poulet, cuit",,11.0,,,,5.0,25.0,,405.0,263.0,,76.0,
"Foie, dinde, cuit",,19.0,,,,,26.0,,312.0,153.0,,98.0,
"Langue, veau, cuite",,9.0,,,,,18.0,,166.0,162.0,,64.0,
"Langue, boeuf, cuite",,,,,,5.0,,,144.0,184.0,,,
"Ris, agneau, cuit",,12.0,,,,,19.0,,431.0,291.0,,52.0,
"Ris, veau, braisé ou sauté/poêlé",,4.0,,,,4.0,24.0,,627.0,435.0,,59.0,1.0
"Rognon, cuit (aliment moyen)",,,,,,10.0,,,283.0,142.0,,,
"Rognon, boeuf, cuit",,19.0,,,,10.0,12.0,,304.0,135.0,,94.0,
"Rognon, porc, cuit",,13.0,,,,10.0,18.0,,240.0,143.0,,80.0,
"Rognon, agneau, braisé",,18.0,,,,10.0,20.0,,290.0,178.0,,151.0,
"Rognon, veau, braisé ou sauté/poêlé",,,,,5.0,10.0,,,,,,,
"Abat, cuit (aliment moyen)",,,,,,,,,263.0,252.0,,244.0,
"Gésier, canard, confit, appertisé",,,,,,32.0,,,126.0,214.0,37.0,766.0,6.0
"Boeuf, côte, crue",,11.0,,,,,18.0,,188.0,355.0,,65.0,
"Boeuf, épaule, crue",,,,,,,,,192.0,342.0,,,
"Boeuf, basse-côte, crue",,,,,,,,,,,,68.0,
"Boeuf, gîte à la noix, cru",,,,,,,22.0,,185.0,334.0,,,
"Boeuf, entrecôte, crue",,,,,,,,,154.0,270.0,,,
"Boeuf, rond de gîte, cru",,,,,,,,,,,,,
"Boeuf, faux-filet, cru",,,,,,,,,189.0,318.0,,,
"Boeuf, filet, cru",,,,,,,,,,,,,
"Boeuf, plat de côtes, cru",,9.0,,,,,14.0,,137.0,232.0,,49.0,
"Boeuf, hampe, crue",,6.0,,,,,19.0,,142.0,242.0,,,
"Boeuf, joue, crue",,,,,,,,,,,,71.0,
"Boeuf, jarret, cru",,5.0,,,,,24.0,,215.0,363.0,,54.0,
"Boeuf, tende de tranche, crue",,,,,,,17.0,,196.0,329.0,,,
"Boeuf, steak ou bifteck, cru",,6.0,52.0,,,1.0,,,174.0,307.0,,,
"Boeuf, boule de macreuse, crue",,,,,,,22.0,,192.0,354.0,,,
"Boeuf, onglet, cru",,,,,,,,,,,,,
"Boeuf, rumsteck, cru",,,,,,,,,195.0,326.0,,,
"Boeuf, bavette d'aloyau, crue",,,,,,,22.0,,195.0,328.0,11.0,,
"Boeuf, à bourguignon ou pot-au-feu, cru",,18.0,,,,,,,,,,,
"Boeuf, collier, cru",,,,,,,,,,,,,
"Boeuf, steak haché 5% MG, cru",,7.0,,,,,22.0,,184.0,353.0,,,
"Boeuf, steak haché 10% MG, cru",,12.0,,,,,20.0,,184.0,321.0,,,
"Boeuf, steak haché 15% MG, cru",,,,,,1.0,20.0,,171.0,302.0,,,
"Boeuf, steak haché 20% MG, cru",,,,,,,17.0,,158.0,270.0,,64.0,
"Boeuf, paleron, cru",,,,,,,25.0,,223.0,343.0,,49.0,
"Boeuf, queue, crue",,,,,,,,,,,,111.0,
"Veau, côte, crue",,,,,,,22.0,,184.0,290.0,,,
"Veau, carré, cru",,,,,,,25.0,,208.0,327.0,,,
"Veau, escalope, crue",,10.0,73.0,,2.0,,21.0,,171.0,380.0,,,
"Veau, noix, crue",,9.0,,,,,26.0,,220.0,367.0,,,
"Veau, filet, cru",,12.0,,,2.0,,,,,,,95.0,
"Veau, steak haché 20% MG, cru",,11.0,,,,,,,,,,,
"Veau, steak haché 15% MG, cru",,,,,,,,,,,,,
"Veau, poitrine, crue",,8.0,,,,,18.0,,172.0,286.0,8.0,,
"Veau, rôti, cru",,7.0,,,,,27.0,,223.0,372.0,,79.0,
"Veau, épaule, crue",,16.0,,,,,24.0,,208.0,311.0,,,
"Veau, pied, cru",,11.0,,,,,15.0,,206.0,320.0,,48.0,
"Veau, jarret, cru",,9.0,,,,,,,,,,,
"Veau, collier, cru",,,,,,,,,,,,,
"Porc, épaule, crue",,,,,,1.0,19.0,,191.0,335.0,,50.0,
"Porc, poitrine, crue",,,,,,,,,382.0,293.0,,,
"Porc, longe, crue",,,,,,1.0,,,187.0,342.0,,,
"Porc, jarret, cru",,12.0,,,,,19.0,,204.0,329.0,,84.0,
"Porc, côte, crue",,,,,,,,,463.0,350.0,,,
"Porc, rouelle de jambon, crue",,12.0,,,,,20.0,,180.0,366.0,,,
"Porc, carré, cru",,,,,,,,,210.0,379.0,,,
"Porc, filet, maigre, cru",,,,,,,,,237.0,416.0,,,
"Porc, filet mignon, cru",,,,,,,,,225.0,395.0,,,
"Porc, rôti, cru",,,,,,,,,206.0,349.0,,,
"Porc, échine, crue",,5.0,,,1.0,,,,148.0,250.0,,76.0,
"Porc, travers, cru",,,,,,,,,428.0,330.0,,,
"Porc, escalope de jambon, crue",,,,,,,27.0,,510.0,392.0,,,
"Porc, bardière découennée, crue",,,,,,,,,,,,,
"Porc, gorge, découennée, crue",,,,,,,,,,,,,
"Porc, hachage sans jarret, sans bateau, découenné, dégraissé, désossé, cru",,,,,,,,,,,,,
"Porc, jambon sans jarret, sans bateau, découenné, dégraissé, désossé, cru",,,,,,,,,,,,73.0,
"Porc, jambonneau arrière, découenné, dégraisssé, désossé, cru",,,,,,,,,,,,,
"Porc, maigre 90/10, cru",,,,,,,,,,,,,
"Porc, maigre 80/20, cru",,,,,,,,,,,,,
"Porc, palette, découennée, dégraissée, désossée, crue",,,,,,,,,,,,81.0,
"Porc, poitrine cutter, sans mouille, crue",,,,,,,,,,,,73.0,
"Porc, rôti filet avec chaînette, cru",,,,,,,,,,,,,
"Poulet, cuisse, viande et peau, cru",,,109.0,,,,21.0,,170.0,280.0,,86.0,
"Poulet, viande, crue",,11.0,,,,,,,179.0,257.0,,81.0,
"Poulet (var. blanc), viande et peau, cru",,,,,,,,,138.0,250.0,,,
"Poulet fermier, viande et peau, cru",,,,,,,,,142.0,267.0,,100.0,
"Poulet, viande et peau, cru",,,,,,,,,174.0,227.0,,,
"Poulet, filet, sans peau, cru",,,,,,,32.0,,240.0,390.0,,43.0,
"Poulet, haut de cuisse, viande, cru",,7.0,,,,,23.0,,185.0,242.0,,95.0,
"Poulet éviscéré sans abats, cru",,11.0,,,,,20.0,,147.0,189.0,,70.0,
"Poulet, pilon, cru",,,,,,,19.0,,168.0,202.0,,91.0,
"Poulet, aile, viande et peau, cru",,16.0,121.0,,,,17.0,,140.0,230.0,,,
"Poulet, cuisse, viande, cru",,,,,,2.0,,,173.0,229.0,,92.0,
"Poulet, poitrine, viande et peau, cru",,11.0,,,,,25.0,,186.0,220.0,,63.0,
"Poulet, cuisse, viande et peau, cru, bio",,,102.0,,,,21.0,,180.0,300.0,50.0,77.0,
"Poulet, cuisse, viande et peau, cru, label rouge",,,95.0,,1.0,,23.0,,200.0,330.0,20.0,84.0,
"Poulet, filet, sans peau, cru, bio",,,133.0,,,,29.0,,220.0,350.0,,38.0,
"Poulet, filet, sans peau, cru, label rouge",,,,,,,30.0,,230.0,370.0,,40.0,
"Dinde, viande et peau, crue",,,,,,,23.0,,167.0,227.0,24.0,103.0,
"Dinde, viande, crue",,,,,,,24.0,,170.0,233.0,,106.0,
"Dinde, escalope, crue",,,,,,,28.0,,201.0,242.0,10.0,,
"Dinde, cuisse, viande et peau, crue",,14.0,,,,,,,172.0,241.0,,,
"Dinde, cuisse, viande sans peau, crue",,11.0,,,,,25.0,,176.0,226.0,28.0,124.0,
"Dinde, aile, crue",,14.0,,,,,21.0,,165.0,240.0,,55.0,
"Mouton, viande, crue",,,,,,4.0,,,114.0,279.0,,,
"Mouton, épaule, crue",,,,,,3.0,16.0,,130.0,301.0,,,
"Mouton, pied, cru",,10.0,,,,,16.0,,165.0,295.0,,75.0,
"Mouton, tête, crue",,10.0,,,,,16.0,,165.0,295.0,,75.0,
"Mouton, gigot, cru",,10.0,,,,,23.0,,213.0,380.0,2.0,78.0,
"Agneau, côtelette, crue",,,,,,,17.0,,136.0,218.0,,66.0,
"Agneau, gigot, cru",,10.0,,,,,,,177.0,255.0,,,3.0
"Agneau, épaule, crue",,,,,,,19.0,,170.0,224.0,,,
"Agneau, épaule, maigre, crue",,15.0,,,,,24.0,,184.0,274.0,,70.0,
"Agneau, collier, cru",,,,,,,,,,,,,
"Agneau, selle, crue",,,,,,,19.0,,175.0,222.0,,55.0,
"Agneau, côte filet, crue",,9.0,,,,,,,,,,,
"Agneau, côte première, crue",,8.0,,,,,,,,,,,
"Agneau, côte ou côtelette, crue (aliment moyen)",,,,,,,,,,,,,
"Agneau, côte découverte, crue",,,,,,,,,,,,82.0,
"Sanglier, cru",,,,,,1.0,21.0,,155.0,325.0,,80.0,
"Lièvre, viande crue",,,,,,,26.0,,210.0,318.0,10.0,,
"Chevreuil, cru",,5.0,,,,,,,,,,21.0,
"Cerf, cru",,,,,,,23.0,,202.0,318.0,,,
"Faisan, viande, cru",,,,,,8.0,,,231.0,261.0,14.0,,1.0
"Faisan, viande et peau, cru",,15.0,,,,8.0,20.0,,214.0,243.0,,36.0,
"Cheval, viande, crue",,10.0,,,,1.0,20.0,,185.0,291.0,6.0,62.0,
"Cheval, steak, cru",,6.0,9.0,,,,24.0,,221.0,360.0,,53.0,
"Cheval, tende de tranche, crue",,,,,,,,,,,,,
"Cheval, faux-filet, cru",,,,,,,,,,,,,
"Cheval, entrecôte, crue",,,,,,,,,,,,,
"Chevreau, cru",,13.0,,,,,,,180.0,385.0,,82.0,4.0
"Lapin, viande crue",,,165.0,,,,,,212.0,357.0,10.0,,
"Lapin de garenne, viande, crue",,12.0,,,,,29.0,,226.0,378.0,,50.0,
"Poule, viande et peau, crue",,,,,,,,,169.0,196.0,8.0,,
"Poule, viande ,crue",,,,,,,,,170.0,249.0,,,
"Poule, cuisse, crue",,,,,,,,,182.0,234.0,,108.0,
"Chapon, viande et peau, cru",,11.0,,,,,21.0,,183.0,217.0,,272.0,
"Caille, viande et peau, crue",,14.0,,,,,23.0,,275.0,216.0,,50.0,
"Caille, viande, crue",,14.0,,,,,25.0,,307.0,237.0,,49.0,
"Canard, viande, crue",,9.0,,,,,,,199.0,277.0,24.0,,
"Canard, cuisse avec peau, sans os, crue",,,,,,,,,,,,103.0,
"Canard, viande et peau, cru",,,,,,,20.0,,180.0,310.0,,,
"Canard, magret, cru",,5.0,,,,,,,,,,,
"Oie, viande crue",,13.0,,,,,24.0,,312.0,368.0,24.0,78.0,
"Oie, viande et peau, crue",,12.0,,,,,21.0,,234.0,312.0,24.0,71.0,
"Pigeon, cru",,,,,,,,,278.0,244.0,,,
"Pintade, crue",,,,,,,23.0,,161.0,207.0,,,
"Pintade, poitrine, crue",,4.0,,,,,,,230.0,360.0,,50.0,1.0
"Pintade, cuisse, crue",,13.0,,,,,,,220.0,340.0,,78.0,
"Autruche, viande crue",,7.0,,,,,20.0,,199.0,291.0,,72.0,
"Cervelle, agneau, crue",,9.0,,,,,12.0,,270.0,296.0,,112.0,
"Cervelle, porc, crue",,10.0,,,,,14.0,,282.0,258.0,9.0,120.0,
"Cervelle, veau, crue",,10.0,,,,,14.0,,274.0,315.0,,127.0,
"Coeur, boeuf, cru",,,,,,,19.0,,213.0,264.0,,,
"Coeur, poulet, cru",,12.0,,,,,16.0,,177.0,177.0,,69.0,
"Coeur, dinde, cru",,18.0,,,,,21.0,,183.0,179.0,,129.0,
"Coeur, agneau, cru",,6.0,,,,,17.0,,175.0,316.0,,89.0,
"Coeur, porc, cru",,,,,,,20.0,,187.0,296.0,,,
"Coeur, veau, cru",,,,,,,20.0,,213.0,261.0,14.0,,
"Foie, agneau, cru",,7.0,,,,4.0,19.0,,364.0,313.0,,,4.0
"Foie, génisse, cru",,,,,,,,,368.0,307.0,,,
"Foie, veau, cru",,,121.0,22.0,,,18.0,,280.0,320.0,40.0,,
"Foie, volaille, cru",,12.0,,,9.0,,,,,,,83.0,
"Foie, lapin, cru",,,,,,,,,241.0,335.0,,,
"Foie, poulet, cru",,,130.0,,,,19.0,,309.0,233.0,,,
"Foie, dinde, cru",,20.0,,,,,24.0,,279.0,214.0,,131.0,
"Foie, porc, cru",,,,,,,18.0,,329.0,272.0,,137.0,
"Foie, oie, cru",,43.0,,,,,22.0,0.0,261.0,235.0,61.0,109.0,
"Foie, canard, cru",,11.0,,,,,22.0,,269.0,235.0,124.0,109.0,
"Langue, boeuf, crue",,,,,,,17.0,,147.0,303.0,,,
"Langue, veau, crue",,,,,,,17.0,,166.0,256.0,2.0,,
"Langue, porc, crue",,,,,,,18.0,,194.0,263.0,12.0,101.0,
"Langue, agneau, crue",,,,,,,,,,,,102.0,
"Ris, agneau, cru",,,,,,,,,400.0,380.0,6.0,,
"Ris, veau, cru",,,,,,3.0,,,477.0,414.0,6.0,72.0,
"Rognon, boeuf, cru",,,,,,,16.0,,243.0,236.0,118.0,169.0,
"Rognon, porc, cru",,,330.0,,,,,,221.0,237.0,182.0,141.0,
"Rognon, agneau, cru",,13.0,,,,7.0,17.0,,246.0,277.0,,209.0,
"Rognon, veau, cru",,,,,,,,,243.0,248.0,120.0,185.0,
"Tripes, boeuf, crues",,69.0,,,,,13.0,,64.0,67.0,,97.0,
"Sang, boeuf, cru",,4.0,,,,,,,,107.0,,240.0,
"Gésier, poulet, cru",,11.0,,,,,14.0,,148.0,213.0,,,
Charcuterie (aliment moyen),,,1530.0,,,,,,194.0,380.0,,992.0,
Jambon persillé en gelée,,12.0,985.0,,,,15.0,,130.0,280.0,,669.0,
Jambon de porc à cuire ou Jambon à rôtir/cuire au four,,,,,,,22.0,,217.0,338.0,,64.0,
Filet de bacon,,,1820.0,,,,23.0,,190.0,470.0,,1270.0,
"Jambon cuit, fumé",,,,,,,,,188.0,261.0,14.0,797.0,
"Jambon cuit, supérieur",,,935.0,,,,,,193.0,362.0,,749.0,2.0
"Jambon cuit, supérieur, avec couenne",,,1480.0,,,,,,265.0,,,744.0,
"Jambon cuit, supérieur, découenné",,14.0,1090.0,,,,,,135.0,440.0,,742.0,
Jambon à l'os braisé,,7.0,,,,,19.0,,214.0,286.0,,1190.0,
"Jambon cuit, supérieur, découenné dégraissé",,,1130.0,,,6.0,,,210.0,313.0,11.0,722.0,
"Jambon cuit, supérieur, à teneur réduite en sel",,,,,,,,,,,,575.0,
"Jambon cuit, choix",,,1330.0,,,,,,146.0,,,945.0,
"Épaule de porc, cuite, choix, découennée dégraissée",,11.0,1670.0,,,,16.0,,143.0,292.0,,950.0,
"Jambon cuit, choix, avec couenne",,,,,,,,,136.0,,,1200.0,
"Jambon cuit, choix, découenné dégraissé",,10.0,1040.0,,,,,,145.0,358.0,,774.0,
Rond de jambon cuit,,,,,,,,,90.0,,,,
"Dés, allumettes, râpé ou haché de jambon",,,,,,,,,,,,811.0,
"Épaule de porc, cuite, standard, découennée dégraissée",,,1730.0,,,,,,155.0,,,1450.0,
"Jambon cuit, de Paris, découenné dégraissé",,,,,,,,,426.0,,,,
"Dés, allumettes, râpé ou haché de jambon de volaille",,,,,,,,,,,,850.0,
"Jambonneau, cuit",,,,,,,,,123.0,,,910.0,
Jambon de poulet ou Blanc de poulet en tranche,,,1150.0,,,,29.0,,240.0,380.0,,766.0,
Jambon de dinde ou Blanc de dinde en tranche,,,1140.0,,,,26.0,,230.0,370.0,,763.0,
