food_name_in_french,retinol_in_µg_for_100g,beta_carotene_in_µg_for_100g,vitamin_d_in_µg_for_100g,vitamin_e_in_mg_for_100g,vitamin_k1_in_µg_for_100g,vitamin_k2_in_µg_for_100g,vitamin_c_in_mg_for_100g,vitamin_b1_thiamine_in_mg_for_100g,vitamin_b2_riboflavin_in_mg_for_100g,vitamin_b3_niacin_in_mg_for_100g,vitamin_b5_pantothenic_acid_in_mg_for_100g,vitamin_b6_in_mg_for_100g,vitamin_b9_total_folate_in_µg_for_100g,vitamin_b12_in_µg_for_100g
Bagel,0.0,2.0,0.0,,,,0.0,,,,,,25.0,0.0
"Pain pour hamburger ou hot dog (bun), préemballé",,,,,,,,,,1.0,,,,
Pain blanc maison (avec farine pour machine à pain),,,,,,,,,,,,,,
Pain de campagne maison (avec farine pour machine à pain),,,,,,,,,,,,,,
"Pain pour hamburger ou hot dog (bun), complet, préemballé",,,,,,,,,,,,,,
"Bretzel, pain frais",,,,,,,,,,,,,,
"Tortilla souple (à garnir), à base de maïs",,,,,,,,,,,,,,
"Tortilla souple (à garnir), à base de blé",,,,,,,,,,,,,,
Blini,23.0,,,,,,0.0,,,,,,33.0,
"Pain grillé, domestique",,0.0,,,,,,,,,,,,
Biscotte classique,53.0,,,,,,0.0,,,,,,,
Biscotte briochée,,,,,,,,,,,,,,
Biscotte sans adjonction de sel,,,,,,,0.0,,,,,,94.0,0.0
Biscotte multicéréale,0.0,,0.0,,,,0.0,,,,,,29.0,0.0
Biscotte complète ou riche en fibres,,,,,,,,,,,,,26.0,0.0
Crackers de table au froment,,,,,,,,,,,,,,
Galette de riz soufflé complet,,,,,,,,,,,,,,
Galette multicéréales soufflée,,,,,,,,,,,,,,
Galette de maïs soufflé,,,,,,,,,,,,,,
"Pain grillé, tranches, au froment",,,,,,,,,,,,,,0.0
"Pain grillé brioché, tranché, préemballé",,,,,,,,,,,,,,
Pain grillé suédois au froment,,,,,,,,,,,,,21.0,
Pain grillé suédois aux graines de lin,,,,,,,,,,,,,,
"Tartine craquante, extrudée et grillée",,,,,,,0.0,,,,,,87.0,0.0
Pain grillé suédois au blé complet,,,,,,,,,,,,,26.0,
Pain grillé suédois aux fruits,,,,,,,,,,,,,,
"Pain grillé, tranches, multicéréale",0.0,0.0,0.0,,,,0.0,,,,,,57.0,0.0
Croûton à tartiner,,,,,,,,,,,,,,
"Croûtons nature, préemballés",,,,,,,,,,,,,,
Chapelure,,,0.0,,0.0,,,,,1.0,,,22.0,0.0
Gressin,,,,3.0,,,7.0,,,,,,70.0,
"Croûton à l'ail aux fines herbes ou aux oignons, préemballé",,,,,,,,,,,,,,
"Pop-corn ou Maïs éclaté, à l'huile, salé",,,0.0,,,,,,,,,,43.0,
"Pop-corn ou Maïs éclaté, à l'air, non salé",0.0,89.0,0.0,,,,0.0,,,,,,31.0,0.0
"Pop-corn ou Maïs éclaté, au caramel",,,,,,,,,,,,,,
Chips de crevette,,,,,,,,,,,,,,
Chips de maïs ou tortilla chips,0.0,1.0,0.0,,,,0.0,,,,,,,
"Biscuit apéritif soufflé, à base de pomme de terre",,,,,,,,,,,,,69.0,
"Biscuit apéritif, mini bretzel ou sticks",,,,,,,,,,,,,44.0,
"Biscuit apéritif soufflé, à base de pomme de terre et de soja",,,,,,,,,,,,,,
Biscuit apéritif (aliment moyen),,,,,,,,,,,,,,
"Biscuit apéritif soufflé, à base de maïs, sans cacahuète",,33.0,,,,,,,,,,,42.0,
"Biscuit apéritif, crackers, garni ou fourré, au fromage",40.0,20.0,0.0,4.0,,,,,,,,,100.0,
"Biscuit apéritif, crackers, nature",,,,3.0,,,0.0,,,1.0,,,,
"Biscuit apéritif, crackers, nature, allégé en matière grasse",0.0,0.0,0.0,,,,0.0,,,,,,80.0,0.0
"Biscuit apéritif soufflé, à base de maïs, à la cacahuète",,,,,,,,,,,,,,
"Biscuit apéritif à base de pomme de terre, type tuile salée",,,,,,,,,,,,,,
"Cacahuètes (arachide) enrobées d'un biscuit, pour apéritif",,,,,,,,,,,,,,
Biscuit apéritif feuilleté,,,,,,,,,,,,,,
"Crêpe dentelle (pour apéritif) au fromage, préemballée",,,,,,,,,,,,,,
Fécule de pomme de terre,0.0,,0.0,0.0,,,0.0,,,,,,82.0,0.0
Flocon d'avoine,0.0,0.0,0.0,,2.0,,0.0,,,,,,,0.0
Farine de blé tendre ou froment T110,0.0,5.0,,,,,,,,,,,,0.0
Farine de blé tendre ou froment T150,,,,,,,,,,,,,,
Farine de blé tendre ou froment T65,,,,,,,,,,,,,,
Farine de blé tendre ou froment T55 (pour pains),0.0,1.0,,,,,,,,,,,,0.0
Farine de blé tendre ou froment avec levure incorporée,,,,,,,,,,,,,,
Farine de blé tendre ou froment T45 (pour pâtisserie),0.0,,0.0,,0.0,,0.0,,,,,,18.0,0.0
Farine de blé tendre ou froment T80,,,,,,,,,,,,,,
Farine d'épeautre (grand épeautre),,,,,,,,,,,,,,
Amidon de maïs ou fécule de maïs,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,1.0,0.0
Farine de riz,0.0,0.0,,,,,,,,,,,,0.0
Farine de seigle T170,0.0,7.0,0.0,,,,0.0,,,,,,33.0,0.0
Farine de seigle T85,0.0,0.0,0.0,,,,0.0,,,,,,23.0,0.0
Farine de seigle T130,0.0,0.0,0.0,,,,,,,,,,,0.0
Farine de sarrasin,0.0,0.0,0.0,,7.0,,,,,,,,,0.0
Farine de maïs,0.0,97.0,0.0,,,,0.0,,,,,,34.0,0.0
Farine d'orge,0.0,0.0,0.0,,,,0.0,,,,,,8.0,0.0
Farine de millet,,,,,,,,,,,,,,
Farine de pois chiche,0.0,25.0,0.0,,,,0.0,,,,,,437.0,0.0
Farine de soja,0.0,72.0,0.0,,135.0,,0.0,,,,,,573.0,0.0
Amidon de riz,0.0,,0.0,0.0,,,,,,,,,,
"Pâte à pizza fine, crue",,,,,,,,,,,,,,
"Pâte brisée, crue",,,,,,,,,,,,,,
"Pâte brisée, matière grasse végétale, cuite",,114.0,,,,,0.0,,,,,,8.0,
"Pâte brisée, pur beurre, crue",,,,,,,,,,,,,,
"Pâte brisée, pur beurre, surgelée, crue",,,,,,,,,,,,,,
"Pâte brisée, pur beurre, cuite",,,,,,,,,,,,,,
"Pâte feuilletée, matière grasse végétale, crue",175.0,48.0,,,,,0.0,,,1.0,,,7.0,
"Pâte feuilletée, surgelée, crue",,,,,,,,,,,,,,
"Pâte feuilletée, cuite",,115.0,,4.0,,,,,,,,,,
"Pâte feuilletée pur beurre, crue",,,,,,,,,,,,,,
"Pâte feuilletée pur beurre, surgelée crue",,,,,,,,,,,,,,
"Pâte feuilletée pur beurre, cuite",,,,,,,,,,,,,,
"Feuille de brick, cuite à sec sans matière grasse",,,,,,,,,,,,,,
"Pâte sablée, crue",,,,,,,,,,,,,,
"Pâte sablée, cuite",,,,,,,,,,,,,,
"Pâte sablée pur beurre, crue",,,,,,,,,,,,,,
"Pâte phyllo ou Pâte filo, crue",0.0,0.0,0.0,,,,0.0,,,,,,18.0,0.0
"Pâte sablée pur beurre, surgelée, crue",,,,,,,,,,,,,,
"Pâte sablée pur beurre, cuite",169.0,,,,,,,,,,,,99.0,
Pâte à pizza crue,,,,,,,,,,,,,,
"Khatfa feuille de brick, préemballée",,,,,,,,,,,,,,
Pâte à pizza cuite,,,,,,,,,,,,,,
"Viande blanche, cuite (aliment moyen)",,,,,,,,,,,,,,
"Viande rouge, cuite (aliment moyen)",,,,,,,,,,,,,,
Viande cuite (aliment moyen),,,,,,,,,,,,,,
"Volaille, cuite (aliment moyen)",,,,,,,,,,,,,,
"Boeuf, entrecôte, partie maigre, grillée/poêlée",7.0,0.0,,,,,0.0,,,,,,6.0,
"Boeuf, braisé",,,,,,,,,,,,,,
"Boeuf, gîte à la noix, cuit",,,,,,,,,,,,,,
"Boeuf, faux-filet, rôti/cuit au four",,,,,,,,,,,,,,
"Boeuf, faux-filet, grillé/poêlé",0.0,0.0,,,,,0.0,,,,,,8.0,
"Boeuf, plat de côtes, braisé",0.0,0.0,,,,,0.0,,,,1.0,,5.0,
"Boeuf, hampe, grillée/poêlée",,,,,,,,,,,,,,
"Boeuf, joue, braisée ou bouillie",,,,,,,,,,,,,,
"Boeuf, jarret, bouilli/cuit à l'eau",,,,,,,,,,,,,,
"Boeuf, tende de tranche, grillée/poêlée",,,,,,,,,,,,,,
"Boeuf, tende de tranche, rôtie/cuite au four",,,,,,,,,,,,,,
"Boeuf, steak ou bifteck, grillé",,0.0,,,,,,,,,,,,
"Boeuf, onglet, grillé",,,,,,,,,,,,,,
"Boeuf, rumsteck, grillé",,,,,,,,,,,,,,
"Boeuf, boule de macreuse, grillée/poêlée",,,,,,,,,,,,,,
"Boeuf, rosbif, rôti/cuit au four",0.0,,0.0,,,,,,,,,,,
"Boeuf, bavette d'aloyau, grillée/poêlée",,,,,,,,,,,,,,
"Boeuf, boule de macreuse, rôtie/cuite au four",,,,,,,,,,,,,,
"Boeuf, à bourguignon ou pot-au-feu, cuit",,0.0,,,,,,,,,,,,
"Boeuf, collier, braisé",,,,,,,,,,,,,,
"Boeuf, steak haché 5% MG, cuit",3.0,0.0,0.0,,,,0.0,,,,,,7.0,
"Boeuf, steak haché 10% MG, cuit",3.0,0.0,0.0,,,,0.0,,,,,,8.0,
"Boeuf, steak haché 15% MG, cuit",3.0,0.0,0.0,,,,0.0,,,,,,9.0,
"Boeuf, steak haché 20% MG, cuit",3.0,0.0,0.0,,,,0.0,,,,,,,
"Boeuf, steak haché, cuit (aliment moyen)",3.0,0.0,0.0,,,,0.0,,,,,,,
"Boeuf, paleron, braisé ou bouilli",7.0,0.0,,,,,0.0,,,,,,8.0,
"Boeuf, queue, bouillie/cuite à l'eau",,,,,,,,,,,,,,
"Veau, côte, grillée/poêlée",68.0,,,,,,,,,,,,,
"Veau, carré, sauté/poêlé",,,,,,,,,,3.0,,,,
"Veau, escalope, cuite",,,,,,,,,,10.0,,,,2.0
"Veau, noix, grillée/poêlée",,,,,,,,,,,,,,
"Veau, noix, rôtie",,,,,,,,,,,,,,
"Veau, filet, rôti/cuit au four",0.0,0.0,0.0,,,,0.0,,,,,,15.0,
"Veau, rôti, cuit",0.0,,,,,,0.0,,,,1.0,,16.0,
"Veau, épaule, grillée/poêlée",,,,,,,,,,6.0,,,,
"Veau, épaule, braisée ou bouillie",,,,,,,,,,6.0,,,,
"Veau, viande, cuite (aliment moyen)",,,,,,,,,,,,,,
"Veau, jarret, braisé ou bouilli",,,,,,,,,,,,,,
"Veau, tête, bouillie/cuite à l'eau",,,,,,,,,,,,,,
"Veau, collier, braisé ou bouilli",,,,,,,,,,,,,,
"Porc, longe, cuite",3.0,0.0,1.0,,0.0,,,,,,,,6.0,
"Porc, palette, crue",,,,,,,,,,,,,,
"Porc, épaule, cuite",2.0,0.0,1.0,,0.0,,,,,,,,5.0,
"Porc, côte, grillée",,,,,,,,,,,,,,
"Porc, rouelle de jambon, cuite",,,,,,,,,,,,,,
"Porc, carré, cuit",,,,,,,,,,,,,,
"Porc, filet, maigre, en rôti, cuit",,0.0,,,0.0,,1.0,,,,,,,
"Porc, filet mignon, cuit",,,,,,,,,,,,,,
"Porc, viande, cuite (aliment moyen)",,,,,,,,,,,,,,
"Porc, rôti, cuit",1.0,0.0,,,0.0,,0.0,,,,,,0.0,
"Porc, travers, braisé",4.0,0.0,,,0.0,,,,,,,,,
"Porc, échine, rôtie/cuite au four",2.0,0.0,,,0.0,,,,,,,,1.0,
"Porc, escalope de jambon, cuite",,,,,,,,,,,,,,
"Poulet, cuisse, viande et peau, rôtie/cuite au four",,0.0,,,,,3.0,,,,,,,
"Poulet, viande et peau, rôti/cuit au four",,0.0,,,,,0.0,,,,,,5.0,
"Poulet, cuisse, viande, rôti/cuit au four",,0.0,,,,,0.0,,,,,,,
"Poulet, filet, sans peau, sauté/poêlé",,0.0,,,,,,,,,,,,
"Poulet, cuisse, viande, bouilli/cuit à l'eau",10.0,0.0,,,,,,,,,,,,
"Poulet, cuisse, viande et peau, bouilli/cuit à l'eau",,,,,,,,,,,,,,
"Poulet, poitrine, viande et peau, rôti/cuit au four",28.0,0.0,,,,,0.0,,,,,,4.0,
"Poulet, aile, viande et peau, rôti/cuit au four",12.0,0.0,,,,,0.0,,,,,,9.0,
"Poulet, filet, sans peau, sauté/poêlé, bio",,,,,,,,,,14.0,,,,
"Dinde, viande, rôtie/cuite au four",4.0,0.0,,,0.0,,0.0,,,,,,9.0,
"Dinde, escalope, sautée/poêlée",,0.0,,,,,,,,,,,,
"Dinde, escalope, rôtie/cuite au four",3.0,0.0,,,0.0,,0.0,,,,,,9.0,
"Agneau, côtelette, grillée",,0.0,,,,,,,,,,,,
"Agneau, gigot, rôti/cuit au four",0.0,0.0,,,,,0.0,,,,,,17.0,
"Agneau, épaule, rôtie/cuite au four",,0.0,,,,,,,,,,,,
"Agneau, épaule, maigre, rôtie/cuite au four",0.0,0.0,,,,,0.0,,,,,,25.0,
"Agneau, collier, braisé ou bouilli",,,,,,,,,,,,,,
"Agneau, côte filet, grillée/poêlée",,,,,,,,,,,,,,
"Agneau, côte première, grillée/poêlée",0.0,,,,,,0.0,,,,,,15.0,
"Agneau, selle, partie maigre, rôtie/cuite au four",0.0,0.0,,,,,0.0,,,,,,19.0,
"Agneau, gigot, grillé/poêlé",,,,,,,,,,,,,,
"Agneau, gigot, braisé",,,,,,,,,,,,,,
"Agneau, selle, partie maigre, grillée/poêlée",,,,,,,,,,,,,,
"Agneau, côte ou côtelette, cuite (aliment moyen)",,,,,,,,,,,,,,
"Agneau, viande, cuite (aliment moyen)",,,,,,,,,,,,,,
"Agneau, côte ou côtelette, grillée/poêlée (aliment moyen)",,,,,,,,,,,,,,
"Chevreuil, rôti/cuit au four",0.0,,,,2.0,,0.0,,,,,,6.0,
"Sanglier, rôti/cuit au four",0.0,0.0,0.0,,,,0.0,,,,,,6.0,
"Cerf, rôti/cuit au four",0.0,,,,,,0.0,,,,,,,
"Gibier à poil, cuit (aliment moyen)",0.0,,,,,,0.0,,,,,,,
"Faisan, viande, rôtie/cuite au four",57.0,0.0,,,,,,,,,,,5.0,
"Gibier à plumes, viande, cuit (aliment moyen)",,8.0,,,,,,,,,,,,
"Cheval, viande, rôtie/cuite au four",18.0,,,,,,,,,,,,,
"Cheval, tende de tranche, grillée/poêlée",,,,,,,,,,,,,,
"Cheval, faux-filet, grillé/poêlé",,,,,,,,,,,,,,
"Cheval, entrecôte, grillée/poêlée",,,,,,,,,,,,,,
"Cheval, faux-filet, rôti/cuit au four",,,,,,,,,,,,,,
"Cheval, tende de tranche, rôtie/cuite au four",,,,,,,,,,,,,,
"Chevreau, cuit",0.0,0.0,0.0,,,,0.0,,,,,0.0,5.0,
"Lapin, viande braisée",0.0,0.0,0.0,,,,0.0,,,,,,9.0,
"Lapin, viande cuite",0.0,,,,,,0.0,,,9.0,,,,
"Lapin de garenne, viande, cuite",0.0,0.0,0.0,,,,0.0,,,,,,8.0,
"Chapon, viande et peau, rôti/cuit au four",,,,,,,0.0,,,,,,6.0,
"Caille, viande et peau, cuite",70.0,0.0,,,,,,,,,,,6.0,
"Canard, viande et peau, rôti/cuit au four",63.0,0.0,,,,,0.0,,,,,,6.0,
"Canard, viande, rôtie/cuite au four",23.0,0.0,,,,,0.0,,,,,,10.0,
"Canard, magret, grillé/poêlé",16.0,,,,,,,,,,,,,
"Oie, viande, rôtie/cuite au four",12.0,0.0,,,,,0.0,,,,,,12.0,
"Oie, viande et peau, rôtie/cuite au four",21.0,0.0,,,,,0.0,,,,,,2.0,
"Pigeon, viande, rôtie/cuite au four",28.0,0.0,,,4.0,,,,,,,,6.0,
"Autruche, viande cuite",0.0,0.0,,,,,0.0,,,,,,14.0,
"Cervelle, agneau, cuite",0.0,,,,,,12.0,,,,,,5.0,
"Cervelle, porc, braisée",,,,,,,14.0,,,,,,,
"Cervelle, veau, cuite",0.0,,,,,,13.0,,,,1.0,,3.0,
"Coeur, boeuf, cuit",0.0,0.0,,,,,,,,,,,5.0,
"Coeur, poulet, cuit",8.0,,,,,,,,,,,,80.0,
"Coeur, dinde, cuit",16.0,0.0,0.0,,0.0,,,,,,,,8.0,
"Coeur, agneau, cuit",0.0,,,,,,7.0,,,,,,2.0,
"Foie, agneau, cuit",7630.0,,,,,,,,,,,,457.0,60.0
"Foie, génisse, cuit",7730.0,182.0,,,,,20.0,,,18.0,,,536.0,
"Foie, veau, cuit",10500.0,,,,,,,,,,,,592.0,
"Foie, volaille, cuit",18700.0,,,,,,,,,,,,1440.0,
"Foie, porc, cuit",5410.0,,,,,,,,,,,,163.0,
"Foie, poulet, cuit",3980.0,30.0,0.0,,0.0,,,,,11.0,,,578.0,
"Foie, dinde, cuit",10800.0,0.0,,,0.0,,,,,,,,691.0,
"Langue, veau, cuite",0.0,,,,,,6.0,,,,,,9.0,
"Langue, boeuf, cuite",0.0,0.0,,,,,,,,,,,7.0,
"Ris, agneau, cuit",0.0,,,,,,20.0,,,,,,13.0,
"Ris, veau, braisé ou sauté/poêlé",0.0,0.0,0.0,,0.0,,,,,,,,20.0,
"Rognon, cuit (aliment moyen)",111.0,,,,,,,,,,,,,
"Rognon, boeuf, cuit",0.0,0.0,,,0.0,,,,,,,,83.0,26.0
"Rognon, porc, cuit",78.0,,0.0,,,,,,,,,,41.0,
"Rognon, agneau, braisé",137.0,,0.0,,,,12.0,,,,,,81.0,
"Rognon, veau, braisé ou sauté/poêlé",260.0,,0.0,,,,,,,,,,,42.0
"Abat, cuit (aliment moyen)",3450.0,,,,,,,,,,,,238.0,
"Gésier, canard, confit, appertisé",,,,,,,,,,,,,,
"Boeuf, côte, crue",,,,,,,0.0,,,,,,,
"Boeuf, épaule, crue",,0.0,,,,,0.0,,,,,,5.0,
"Boeuf, basse-côte, crue",,,,,,,,,,,,,,
"Boeuf, gîte à la noix, cru",3.0,0.0,,,,,0.0,,,,,,9.0,
"Boeuf, entrecôte, crue",,0.0,,,,,0.0,,,,,,4.0,
"Boeuf, rond de gîte, cru",,,,,,,,,,,,,,
"Boeuf, faux-filet, cru",19.0,0.0,,,,,0.0,,,,,,,
"Boeuf, filet, cru",,,,,,,,,,,,,,
"Boeuf, plat de côtes, cru",0.0,,,,,,0.0,,,,,,5.0,
"Boeuf, hampe, crue",4.0,0.0,,,,,0.0,,,,,,3.0,
"Boeuf, joue, crue",,,,,,,,,,,,,,
"Boeuf, jarret, cru",0.0,0.0,,,0.0,,0.0,,,,,,11.0,
"Boeuf, tende de tranche, crue",3.0,0.0,,,,,0.0,,,,,,,
"Boeuf, steak ou bifteck, cru",15.0,0.0,,,0.0,,0.0,,,,,,,
"Boeuf, boule de macreuse, crue",0.0,0.0,,,,,0.0,,,,,,7.0,
"Boeuf, onglet, cru",,,,,,,,,,,,,,
"Boeuf, rumsteck, cru",6.0,0.0,,,,,0.0,,,,,,5.0,
"Boeuf, bavette d'aloyau, crue",0.0,0.0,,,,,0.0,,,,,,11.0,
"Boeuf, à bourguignon ou pot-au-feu, cru",,,,,,,,,,,,,,
"Boeuf, collier, cru",,,,,,,,,,,,,,
"Boeuf, steak haché 5% MG, cru",4.0,0.0,,,,,0.0,,,,,,6.0,
"Boeuf, steak haché 10% MG, cru",4.0,0.0,,,,,0.0,,,,,,6.0,
"Boeuf, steak haché 15% MG, cru",,0.0,,,,,1.0,,,,,,,
"Boeuf, steak haché 20% MG, cru",4.0,0.0,,,,,0.0,,,,,,7.0,
"Boeuf, paleron, cru",3.0,0.0,,,,,0.0,,,,,,3.0,
"Boeuf, queue, crue",,,,,,,,,,,,,,
"Veau, côte, crue",0.0,,,,,,0.0,,,,,,12.0,
"Veau, carré, cru",0.0,0.0,0.0,,,,0.0,,,,,,15.0,
"Veau, escalope, crue",,,,,,,,,,,,,5.0,2.0
"Veau, noix, crue",0.0,0.0,0.0,,,,0.0,,,,,,14.0,
"Veau, filet, cru",,,,,,,,,,,,,,
"Veau, steak haché 20% MG, cru",,,,,,,,,,,,,,
"Veau, steak haché 15% MG, cru",,,,,,,,,,,,,,
"Veau, poitrine, crue",,0.0,,,,,,,,,,,,
"Veau, rôti, cru",0.0,0.0,,,,,0.0,,,,,,14.0,
"Veau, épaule, crue",0.0,0.0,,,,,0.0,,,6.0,,,11.0,
"Veau, pied, cru",,,,,,,0.0,,,,,,,
"Veau, jarret, cru",,,,,,,,,,,,,,
"Veau, collier, cru",,,,,,,,,,,,,,
"Porc, épaule, crue",,0.0,,,0.0,,,,,,,,,
"Porc, poitrine, crue",0.0,,,,0.0,,0.0,,,,,,,
"Porc, longe, crue",2.0,0.0,,,0.0,,,,,,,,,
"Porc, jarret, cru",6.0,0.0,,,0.0,,0.0,,,,,,0.0,
"Porc, côte, crue",3.0,0.0,,,0.0,,0.0,,,,,,0.0,
"Porc, rouelle de jambon, crue",5.0,0.0,,,0.0,,0.0,,,,,,0.0,
"Porc, carré, cru",,,,,,,,,,,,,,
"Porc, filet, maigre, cru",0.0,0.0,,,0.0,,0.0,,,,,,,
"Porc, filet mignon, cru",0.0,0.0,,,0.0,,0.0,,,,,,0.0,
"Porc, rôti, cru",,0.0,,,,,0.0,,,,,,1.0,
"Porc, échine, crue",9.0,,,,,,,,,,,,,
"Porc, travers, cru",0.0,0.0,,,0.0,,0.0,,,,,,2.0,
"Porc, escalope de jambon, crue",2.0,0.0,,,0.0,,0.0,,,,,,0.0,
"Porc, bardière découennée, crue",,,,,,,,,,,,,,
"Porc, gorge, découennée, crue",,,,,,,,,,,,,,
"Porc, hachage sans jarret, sans bateau, découenné, dégraissé, désossé, cru",,,,,,,,,,,,,,
"Porc, jambon sans jarret, sans bateau, découenné, dégraissé, désossé, cru",,,,,,,,,,,,,,
"Porc, jambonneau arrière, découenné, dégraisssé, désossé, cru",,,,,,,,,,,,,,
"Porc, maigre 90/10, cru",,,,,,,,,,,,,,
"Porc, maigre 80/20, cru",,,,,,,,,,,,,,
"Porc, palette, découennée, dégraissée, désossée, crue",,,,,,,,,,,,,,
"Porc, poitrine cutter, sans mouille, crue",,,,,,,,,,,,,,
"Porc, rôti filet avec chaînette, cru",,,,,,,,,,,,,,
"Poulet, cuisse, viande et peau, cru",,0.0,,,,,,,,,,,,
"Poulet, viande, crue",,0.0,,,,,,,,,,,,
"Poulet (var. blanc), viande et peau, cru",,,,,,,,,,,,,,
"Poulet fermier, viande et peau, cru",,,,,,,,,,,,,,
"Poulet, viande et peau, cru",,0.0,,,,,,,,,,,,
"Poulet, filet, sans peau, cru",,0.0,,,,,,,,,,,,
"Poulet, haut de cuisse, viande, cru",7.0,0.0,0.0,,,,0.0,,,,,,4.0,
"Poulet éviscéré sans abats, cru",,,,,,,,,,,,,6.0,
"Poulet, pilon, cru",28.0,0.0,,,,,2.0,,,,,,5.0,
"Poulet, aile, viande et peau, cru",,0.0,,,,,,,,,,,,
"Poulet, cuisse, viande, cru",,0.0,0.0,,,,,,,,,,,
"Poulet, poitrine, viande et peau, cru",24.0,0.0,,,0.0,,1.0,,,,,,4.0,
"Poulet, cuisse, viande et peau, cru, bio",,,,,,,,,,,,,,
"Poulet, cuisse, viande et peau, cru, label rouge",34.0,,,,,,,,,,,,,
"Poulet, filet, sans peau, cru, bio",,,,,,,,,,,,,14.0,
"Poulet, filet, sans peau, cru, label rouge",,,,,,,,,,,,,12.0,
"Dinde, viande et peau, crue",,0.0,,,0.0,,0.0,,,,,,,
"Dinde, viande, crue",9.0,0.0,,,0.0,,0.0,,,8.0,,,11.0,
"Dinde, escalope, crue",6.0,0.0,,,0.0,,0.0,,,,,,7.0,
"Dinde, cuisse, viande et peau, crue",,0.0,,,0.0,,0.0,,,,,,8.0,
"Dinde, cuisse, viande sans peau, crue",13.0,0.0,,,0.0,,0.0,,,,,,7.0,
"Dinde, aile, crue",3.0,,,,,,0.0,,,,,,7.0,
"Mouton, viande, crue",,,,,,,,,,,,,,
"Mouton, épaule, crue",45.0,,,,0.0,,1.0,,,,,,2.0,5.0
"Mouton, pied, cru",,,,,,,,,,,,,,
"Mouton, tête, crue",,,,,,,,,,,,,,
"Mouton, gigot, cru",,,,,,,,,,,,,,
"Agneau, côtelette, crue",45.0,0.0,,,0.0,,1.0,,,,,,,
"Agneau, gigot, cru",45.0,,,,0.0,,1.0,,,,,,,
"Agneau, épaule, crue",45.0,0.0,,,,,1.0,,,,,,,
"Agneau, épaule, maigre, crue",0.0,0.0,,,,,0.0,,,,,,23.0,
"Agneau, collier, cru",,,,,,,,,,,,,,
"Agneau, selle, crue",45.0,,,,0.0,,0.0,,,,,,,
"Agneau, côte filet, crue",,,,,,,,,,,,,,
"Agneau, côte première, crue",,,,,,,,,,,,,,
"Agneau, côte ou côtelette, crue (aliment moyen)",,,,,,,,,,,,,,
"Agneau, côte découverte, crue",,,,,,,,,,,,,,
"Sanglier, cru",0.0,,,,,,0.0,,,,,,2.0,
"Lièvre, viande crue",0.0,,0.0,,0.0,,0.0,,,,,,10.0,1.0
"Chevreuil, cru",,,,,,,,,,,,,,
"Cerf, cru",0.0,0.0,,,,,0.0,,,,,,4.0,
"Faisan, viande, cru",,,,,0.0,,,,,,,,,
"Faisan, viande et peau, cru",73.0,,,,0.0,,,,,,,,6.0,
"Cheval, viande, crue",21.0,0.0,,,0.0,,,,,,,,8.0,
"Cheval, steak, cru",0.0,,,,,,1.0,,,,,,,3.0
"Cheval, tende de tranche, crue",,,,,,,,,,,,,,
"Cheval, faux-filet, cru",,,,,,,,,,,,,,
"Cheval, entrecôte, crue",,,,,,,,,,,,,,
"Chevreau, cru",0.0,,,,,,0.0,,,,,,5.0,
"Lapin, viande crue",10.0,0.0,0.0,,0.0,,3.0,,,,,,,
"Lapin de garenne, viande, crue",0.0,,,,,,0.0,,,,,,,
"Poule, viande et peau, crue",45.0,0.0,,,,,0.0,,,,,,,
"Poule, viande ,crue",,0.0,,,2.0,,,,,,,,8.0,
"Poule, cuisse, crue",24.0,0.0,0.0,,,,,,,,,,7.0,
"Chapon, viande et peau, cru",37.0,0.0,,,,,,,,,,,6.0,
"Caille, viande et peau, crue",73.0,0.0,,,,,,,,,,,8.0,
"Caille, viande, crue",17.0,,,,,,,,,,,,7.0,
"Canard, viande, crue",22.0,0.0,,,,,,,,,,,,
"Canard, cuisse avec peau, sans os, crue",,,,,,,,,,,,,,
"Canard, viande et peau, cru",,0.0,,,,,,,,,,,,
"Canard, magret, cru",,,,,,,,,,,,,,
"Oie, viande crue",21.0,,1.0,0.0,0.0,31.0,,,,,,,21.0,
"Oie, viande et peau, crue",,,1.0,0.0,0.0,,,,,,,,,
"Pigeon, cru",,0.0,,,,,,,,,,,,
"Pintade, crue",20.0,0.0,,,,,,,,,,,,
"Pintade, poitrine, crue",,,,,,,0.0,,,,,,9.0,
"Pintade, cuisse, crue",,,,,,,0.0,,,,,,17.0,
"Autruche, viande crue",0.0,0.0,,,,,0.0,,,,,,7.0,
"Cervelle, agneau, crue",0.0,,,,,,16.0,,,,,,3.0,
"Cervelle, porc, crue",0.0,,,,,,,,,,,,6.0,
"Cervelle, veau, crue",0.0,,,,,,14.0,,,,,,3.0,
"Coeur, boeuf, cru",0.0,0.0,1.0,,0.0,,2.0,,,,,,,
"Coeur, poulet, cru",9.0,,,,,,,,,,,,,
"Coeur, dinde, cru",80.0,23.0,,,0.0,,3.0,,,,,,6.0,
"Coeur, agneau, cru",0.0,0.0,,,,,5.0,,,,,,2.0,
"Coeur, porc, cru",7.0,0.0,,,0.0,,,,,,,,,
"Coeur, veau, cru",6.0,,1.0,,0.0,,,,,,,,11.0,
"Foie, agneau, cru",435.0,72.0,,,1.0,,4.0,,,18.0,,,230.0,
"Foie, génisse, cru",6350.0,232.0,,,,,23.0,,,,,,1300.0,
